iter	Passed	Remaining
804	9669	2342
805	9684	2331
806	9699	2319
807	9713	2308
808	9729	2297
809	9745	2286
810	9761	2274
811	9778	2263
812	9796	2253
813	9811	2241
814	9829	2231
815	9848	2220
816	9880	2213
817	9897	2202
818	9912	2190
819	9926	2179
820	9946	2168
821	9965	2157
822	9980	2146
823	9995	2134
824	10012	2123
825	10028	2112
826	10043	2101
827	10061	2090
828	10075	2078
829	10092	2067
830	10108	2055
831	10122	2043
832	10137	2032
833	10155	2021
834	10167	2009
835	10193	1999
836	10211	1988
837	10227	1977
838	10243	1965
839	10259	1954
840	10278	1943
841	10294	1931
842	10358	1929
843	10384	1919
844	10401	1907
845	10417	1896
846	10432	1884
847	10449	1872
848	10466	1861
849	10483	1849
850	10501	1838
851	10515	1826
852	10534	1815
853	10548	1803
854	10568	1792
855	10584	1780
856	10600	1768
857	10618	1757
858	10634	1745
859	10650	1733
860	10667	1722
861	10683	1710
862	10699	1698
863	10718	1687
864	10733	1675
865	10750	1663
866	10765	1651
867	10781	1639
868	10798	1627
869	10813	1615
870	10832	1604
871	10844	1591
872	10868	1581
873	10877	1568
874	10888	1555
875	10898	1542
876	10909	1530
877	10920	1517
878	10930	1504
879	10940	1491
880	10954	1479
881	10964	1466
882	10975	1454
883	10987	1441
884	10997	1429
885	11008	1416
886	11020	1403
887	11031	1391
888	11041	1378
889	11051	1365
890	11063	1353
891	11073	1340
892	11085	1328
893	11095	1315
894	11106	1303
895	11117	1290
896	11130	1278
897	11138	1265
898	11153	1253
899	11163	1240
900	11173	1227
901	11184	1215
902	11195	1202
903	11206	1190
904	11216	1177
905	11227	1164
906	11238	1152
907	11249	1139
908	11260	1127
909	11271	1114
910	11280	1102
911	11291	1089
912	11301	1076
913	11312	1064
914	11322	1051
915	11333	1039
916	11344	1026
917	11356	1014
918	11366	1001
919	11378	989
920	11390	977
921	11400	964
922	11411	951
923	11423	939
924	11432	926
925	11447	914
926	11462	902
927	11474	890
928	11484	877
929	11494	865
930	11505	852
931	11515	840
932	11525	827
933	11537	815
934	11546	802
935	11557	790
936	11568	777
937	11578	765
938	11589	752
939	11599	740
940	11610	727
941	11620	715
942	11631	703
943	11641	690
944	11652	678
945	11662	665
946	11672	653
947	11683	640
948	11693	628
949	11704	616
950	11715	603
951	11724	591
952	11739	578
953	11751	566
954	11762	554
955	11775	541
956	11786	529
957	11796	517
958	11807	504
959	11818	492
960	11827	479
961	11838	467
962	11848	455
963	11859	442
964	11870	430
965	11882	418
966	11892	405
967	11902	393
968	11912	381
969	11934	369
970	11946	356
971	11957	344
972	11968	332
973	11978	319
974	11990	307
975	11999	295
976	12011	282
977	12022	270
978	12031	258
979	12044	245
980	12053	233
981	12062	221
982	12072	208
983	12082	196
984	12092	184
985	12102	171
986	12119	159
987	12128	147
988	12139	135
989	12149	122
990	12160	110
991	12170	98
992	12180	85
993	12190	73
994	12201	61
995	12212	49
996	12223	36
997	12233	24
998	12244	12
999	12253	0
